 Automated mail xmit by PORT_LOGIN, PID= 22072 Fri Apr 24 12:11:09 2020
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++
*******************************************************************************
Ephemeris / PORT_LOGIN Fri Apr 24 12:10:54 2020 Pasadena, USA    / Horizons   
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}   
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2455197.500000000, A.D. 2010-Jan-01 00:00:00.0000, -1.760177912708077E-01,  9.674205016300886E-01, -2.188507725454945E-05, -1.719874234160916E-02, -3.142764318922504E-03,  8.262944640968496E-07,  5.679084209610722E-03,  9.833029493991273E-01, -1.331228834705027E-05,
2455198.500000000, A.D. 2010-Jan-02 00:00:00.0000, -1.931885455147906E-01,  9.641282507483298E-01, -2.105108460508209E-05, -1.714195331648272E-02, -3.441596350938621E-03,  8.339516532208392E-07,  5.679026672088029E-03,  9.832929870858954E-01, -6.621890687365868E-06,
2455199.500000000, A.D. 2010-Jan-03 00:00:00.0000, -2.103000647818898E-01,  9.605375847508911E-01, -2.023249259050126E-05, -1.708026341100197E-02, -3.739599977846713E-03,  7.958213568582421E-07,  5.679007497301986E-03,  9.832896670746093E-01, -4.662403450008116E-08,
2455200.500000000, A.D. 2010-Jan-04 00:00:00.0000, -2.273474145628593E-01,  9.566493213672980E-01, -1.947330694459664E-05, -1.701359930806661E-02, -4.036790417754539E-03,  7.162266098604668E-07,  5.679025711475588E-03,  9.832928207610070E-01,  6.310416767206509E-06,
2455201.500000000, A.D. 2010-Jan-05 00:00:00.0000, -2.443255722999131E-01,  9.524642834866134E-01, -1.881116391418211E-05, -1.694186177421986E-02, -4.333140592413020E-03,  6.033279518532420E-07,  5.679079823958537E-03,  9.833021900469903E-01,  1.237504908128004E-05,
2455202.500000000, A.D. 2010-Jan-06 00:00:00.0000, -2.612294121746119E-01,  9.479833439635877E-01, -1.827433512001919E-05, -1.686494686804312E-02, -4.628578130711573E-03,  4.673884473319749E-07,  5.679168014121080E-03,  9.833174597002894E-01,  1.810724891480262E-05,
2455203.500000000, A.D. 2010-Jan-07 00:00:00.0000, -2.780537093997821E-01,  9.432074680238622E-01, -1.788050021237782E-05, -1.678276279465150E-02, -4.922992383519807E-03,  3.190809842877098E-07,  5.679288322208766E-03,  9.833382903999395E-01,  2.349777527152232E-05,
2455204.500000000, A.D. 2010-Jan-08 00:00:00.0000, -2.947931576426905E-01,  9.381377459329936E-01, -1.763698112998770E-05, -1.669523917220554E-02, -5.216245916154091E-03,  1.683021935197553E-07,  5.679438805231239E-03,  9.833643457275890E-01,  2.856020183679165E-05,
