*******************************************************************************
Target body name: Jupiter (599)                   {source: jup343_merged}
Center body name: Sun (10)                        {source: jup343_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}   
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2455197.500000000, A.D. 2010-Jan-01 00:00:00.0000,  4.509063430004285E+00, -2.166482190040893E+00, -9.190943672661708E-02,  3.177263397290027E-03,  7.166558837419839E-03, -1.008631825912527E-04,  2.889707482552612E-02,  5.003373406025758E+00, -2.379333937392054E-04,
2455198.500000000, A.D. 2010-Jan-02 00:00:00.0000,  4.512235694519973E+00, -2.159313258631203E+00, -9.201019257997591E-02,  3.167525980828275E-03,  7.171888117069749E-03, -1.006232546411223E-04,  2.889570411720582E-02,  5.003136075237136E+00, -2.367456978474971E-04,
2455199.500000000, A.D. 2010-Jan-03 00:00:00.0000,  4.515397304527338E+00, -2.152138129957412E+00, -9.211068911537072E-02,  3.155496290283838E-03,  7.177555440683940E-03, -1.004018623984692E-04,  2.889433333961607E-02,  5.002898732454879E+00, -2.377667986231362E-04,
2455200.500000000, A.D. 2010-Jan-04 00:00:00.0000,  4.518547813956328E+00, -2.144958343543300E+00, -9.221098872904521E-02,  3.145462420443627E-03,  7.182692952095507E-03, -1.001746100308272E-04,  2.889296402203176E-02,  5.002661642464730E+00, -2.367574938587197E-04,
2455201.500000000, A.D. 2010-Jan-05 00:00:00.0000,  4.521687316211322E+00, -2.137773079742954E+00, -9.231106249403875E-02,  3.133909674911348E-03,  7.187267452973419E-03, -9.998713911771942E-05,  2.889159462081130E-02,  5.002424537993432E+00, -2.368766030618236E-04,
2455202.500000000, A.D. 2010-Jan-06 00:00:00.0000,  4.524816279925644E+00, -2.130583120729706E+00, -9.241092822645867E-02,  3.123418538732979E-03,  7.192953332551495E-03, -9.974176300530261E-05,  2.889022952681314E-02,  5.002188179294553E+00, -2.365110296019966E-04,
2455203.500000000, A.D. 2010-Jan-07 00:00:00.0000,  4.527933907801362E+00, -2.123388282286399E+00, -9.251058945705729E-02,  3.112657544009915E-03,  7.196606367592940E-03, -9.957393502425476E-05,  2.888886412358149E-02,  5.001951767053556E+00, -2.355221337027468E-04,
2455204.500000000, A.D. 2010-Jan-08 00:00:00.0000,  4.531041731647033E+00, -2.116188699134111E+00, -9.261003158922552E-02,  3.102316562564916E-03,  7.202532870126605E-03, -9.932018444278557E-05,  2.888750675229394E-02,  5.001716745500571E+00, -2.351182343105881E-04,
