 *******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}   
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2455197.500000000, A.D. 2010-Jan-01 00:00:00.0000,  5.090545888726297E-02,  3.026749896818314E-01,  2.005827759432119E-02, -3.338635372983183E-02,  5.708050895551108E-03,  3.529856135976163E-03,  1.776437620214788E-03,  3.075806392207911E-01,  3.216698658888389E-04,
2455198.500000000, A.D. 2010-Jan-02 00:00:00.0000,  1.731730952793912E-02,  3.068381228859767E-01,  2.348042647647644E-02, -3.373280723332555E-02,  2.614400716664156E-03,  3.308887048232420E-03,  1.780142298428964E-03,  3.082220843693608E-01,  9.594718818648130E-04,
2455199.500000000, A.D. 2010-Jan-03 00:00:00.0000, -1.644614040227338E-02,  3.079046103778280E-01,  2.666565671221660E-02, -3.373753895831563E-02, -4.768447117266980E-04,  3.056758398716050E-03,  1.787490564279429E-03,  3.094943971608325E-01,  1.581741356108110E-03,
2455200.500000000, A.D. 2010-Jan-04 00:00:00.0000, -5.004650168736299E-02,  3.059016634552284E-01,  2.958514129255493E-02, -3.340876407216480E-02, -3.516527790466545E-03,  2.778240308171851E-03,  1.798364726046940E-03,  3.113771999057084E-01,  2.178947909761681E-03,
2455201.500000000, A.D. 2010-Jan-05 00:00:00.0000, -8.315806921799057E-02,  3.009039322310843E-01,  3.221509296552681E-02, -3.276343582749755E-02, -6.459265761220551E-03,  2.478596280998628E-03,  1.812595183309848E-03,  3.138411272012809E-01,  2.742705568189242E-03,
2455202.500000000, A.D. 2010-Jan-06 00:00:00.0000, -1.154758776095625E-01,  2.930288015722928E-01,  3.453711907758517E-02, -3.182580444681836E-02, -9.265222233672786E-03,  2.163306231473397E-03,  1.829967942875145E-03,  3.168491272747522E-01,  3.266065794503160E-03,
2455203.500000000, A.D. 2010-Jan-07 00:00:00.0000, -1.467221230031335E-01,  2.824301931048469E-01,  3.653830443917297E-02, -3.062562700435330E-02, -1.190130981593424E-02,  1.837803966131488E-03,  1.850233455497719E-03,  3.203579920137430E-01,  3.743680674676218E-03,
2455204.500000000, A.D. 2010-Jan-08 00:00:00.0000, -1.766507119541084E-01,  2.692914679327748E-01,  3.821104885958283E-02, -2.919624749906877E-02, -1.434178736632167E-02,  1.507252216020588E-03,  1.873116021466663E-03,  3.243199854930798E-01,  4.171838563865854E-03,
