 *******************************************************************************
Target body name: Venus (299)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2019-Jan-02 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}   
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2458119.500000000, A.D. 2018-Jan-01 00:00:00.0000,      69.183922,  1.064074027414035E+07, -1.082624094682304E+08, -2.099112268459268E+06,  3.461675906495419E+01,  3.300350198515389E+00, -1.952339597546987E+00,
2458119.541666667, A.D. 2018-Jan-01 01:00:00.0000,      69.183923,  1.076535347459021E+07, -1.082504559290988E+08, -2.106139287972063E+06,  3.461278904620998E+01,  3.340504043279752E+00, -1.951559699174310E+00,
2458119.583333333, A.D. 2018-Jan-01 02:00:00.0000,      69.183925,  1.088995229987790E+07, -1.082383578451356E+08, -2.113163495179184E+06,  3.460877286482969E+01,  3.380652873991361E+00, -1.950777205683736E+00,
2458119.625000000, A.D. 2018-Jan-01 03:00:00.0000,      69.183926,  1.101453658382967E+07, -1.082261152344861E+08, -2.120184880740151E+06,  3.460471052735984E+01,  3.420796638062912E+00, -1.949992118174417E+00,
2458119.666666667, A.D. 2018-Jan-01 04:00:00.0000,      69.183927,  1.113910616029550E+07, -1.082137281154846E+08, -2.127203435318537E+06,  3.460060204040514E+01,  3.460935282916457E+00, -1.949204437748731E+00,
2458119.708333333, A.D. 2018-Jan-01 05:00:00.0000,      69.183928,  1.126366086314921E+07, -1.082011965066552E+08, -2.134219149581775E+06,  3.459644741062856E+01,  3.501068755983469E+00, -1.948414165512291E+00,
2458119.750000000, A.D. 2018-Jan-01 06:00:00.0000,      69.183929,  1.138820052628870E+07, -1.081885204267108E+08, -2.141232014201380E+06,  3.459224664475127E+01,  3.541197004704895E+00, -1.947621302573938E+00,
2458119.791666667, A.D. 2018-Jan-01 07:00:00.0000,      69.183931,  1.151272498363623E+07, -1.081756998945536E+08, -2.148242019852810E+06,  3.458799974955260E+01,  3.581319976531220E+00, -1.946825850045738E+00,
2458119.833333333, A.D. 2018-Jan-01 08:00:00.0000,      69.183932,  1.163723406913850E+07, -1.081627349292751E+08, -2.155249157215543E+06,  3.458370673187009E+01,  3.621437618922537E+00, -1.946027809042987E+00,
2458119.875000000, A.D. 2018-Jan-01 09:00:00.0000,      69.183933,  1.176172761676698E+07, -1.081496255501557E+08, -2.162253416973092E+06,  3.457936759859945E+01,  3.661549879348589E+00, -1.945227180684201E+00,
