 Automated mail xmit by PORT_LOGIN, PID= 22072 Fri Apr 24 12:11:09 2020
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++
*******************************************************************************
*******************************************************************************
Target body name: Juno (spacecraft) (-61)         {source: juno_merged_DE436}
Center body name: Sun (10)                        {source: juno_merged_DE436}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2011-Aug-05 17:20:00.0000 TDB
Stop  time      : A.D. 2020-May-08 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}   
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2455779.222222222, A.D. 2011-Aug-05 17:20:00.0000,  6.892229998443963E-01, -7.444397020462192E-01,  1.263239737915963E-05,  1.770213135693450E-02,  1.547205375756796E-02, -4.772608551423345E-04,  5.859287723513733E-03,  1.014504220620471E+00,  6.729385105688910E-04,
2455780.222222222, A.D. 2011-Aug-06 17:20:00.0000,  7.032771926297651E-01, -7.297188196933416E-01, -1.944586248397579E-05,  1.381916119986963E-02,  1.467745256629732E-02, -2.390303742603074E-05,  5.853220319327042E-03,  1.013453682151281E+00, -9.785469452542623E-04,
2455781.222222222, A.D. 2011-Aug-07 17:20:00.0000,  7.169835560492311E-01, -7.149577130515278E-01, -4.310466348186167E-05,  1.359718705063891E-02,  1.485105317857557E-02, -2.350950385172912E-05,  5.847922515575719E-03,  1.012536395866778E+00, -8.581562927565572E-04,
2455782.222222222, A.D. 2011-Aug-08 17:20:00.0000,  7.304739652361605E-01, -7.000117489981192E-01, -6.654064072898413E-05,  1.338380390544754E-02,  1.504170214236356E-02, -2.337794725143788E-05,  5.843296770089854E-03,  1.011735472863783E+00, -7.441138325560766E-04,
2455783.222222222, A.D. 2011-Aug-09 17:20:00.0000,  7.437508054411891E-01, -6.848738424150292E-01, -8.987739000937874E-05,  1.316949700671084E-02,  1.523399227107839E-02, -2.330001334294504E-05,  5.839324516799718E-03,  1.011047698526973E+00, -6.315594435393276E-04,
2455784.222222222, A.D. 2011-Aug-10 17:20:00.0000,  7.568120138197990E-01, -6.695443613361205E-01, -1.131458687520886E-04,  1.295238805688750E-02,  1.542454723898036E-02, -2.323833033585497E-05,  5.836000777060027E-03,  1.010472210830640E+00, -5.194532872515475E-04,
2455785.222222222, A.D. 2011-Aug-11 17:20:00.0000,  7.696544584172516E-01, -6.540257471144419E-01, -1.363554594924554E-04,  1.273192082173489E-02,  1.561212279552227E-02, -2.318105540955484E-05,  5.833324069882884E-03,  1.010008753349677E+00, -4.074692308277710E-04,
2455786.222222222, A.D. 2011-Aug-12 17:20:00.0000,  7.822746785841918E-01, -6.383213158400831E-01, -1.595078091463416E-04,  1.250792747342010E-02,  1.579610550419954E-02, -2.312331854483020E-05,  5.831294064456992E-03,  1.009657268805884E+00, -2.954985096757785E-04,
