             JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2455197.500000000, A.D. 2010-Jan-01 00:00:00.0000, -1.760177912708077E-01,  9.674205016300886E-01, -2.188507725454945E-05, -1.719874234160916E-02, -3.142764318922504E-03,  8.262944640968496E-07,  5.679084209610722E-03,  9.833029493991273E-01, -1.331228834705027E-05,
2455197.541666667, A.D. 2010-Jan-01 01:00:00.0000, -1.767343582952756E-01,  9.672892933536945E-01, -2.185062214812421E-05, -1.719647342449795E-02, -3.155232696452172E-03,  8.275374213605330E-07,  5.679081039689604E-03,  9.833024005442996E-01, -1.303274330704545E-05,
2455197.583333333, A.D. 2010-Jan-01 02:00:00.0000, -1.774508306054841E-01,  9.671575655929873E-01, -2.181611690589904E-05, -1.719419605709042E-02, -3.167699566566172E-03,  8.287009517443109E-07,  5.679077937039752E-03,  9.833018633371304E-01, -1.275320219809581E-05,
2455197.625000000, A.D. 2010-Jan-01 03:00:00.0000, -1.781672078493275E-01,  9.670253184106998E-01, -2.178156484148714E-05, -1.719191023887627E-02, -3.180164932890827E-03,  8.297848498916224E-07,  5.679074901659169E-03,  9.833013377772744E-01, -1.247367370838773E-05,
2455197.666666667, A.D. 2010-Jan-01 04:00:00.0000, -1.788834896746755E-01,  9.668925518694154E-01, -2.174696927701822E-05, -1.718961596918340E-02, -3.192628799035416E-03,  8.307889255722470E-07,  5.679071933543777E-03,  9.833008238640252E-01, -1.219416653807700E-05,
2455197.708333333, A.D. 2010-Jan-01 05:00:00.0000, -1.795996757293663E-01,  9.667592660315663E-01, -2.171233354214237E-05, -1.718731324717799E-02, -3.205091168588850E-03,  8.317130037732278E-07,  5.679069032687395E-03,  9.833003215963125E-01, -1.191468939663538E-05,
2455197.750000000, A.D. 2010-Jan-01 06:00:00.0000, -1.803157656612001E-01,  9.666254609594361E-01, -2.167766097338265E-05, -1.718500207186493E-02, -3.217552045116328E-03,  8.325569247836387E-07,  5.679066199081749E-03,  9.832998309727041E-01, -1.163525100017889E-05,
2455197.791666667, A.D. 2010-Jan-01 07:00:00.0000, -1.810317591179321E-01,  9.664911367151606E-01, -2.164295491368686E-05, -1.718268244208808E-02, -3.230011432156020E-03,  8.333205442748642E-07,  5.679063432716468E-03,  9.832993519914034E-01, -1.135586006878876E-05,
2455197.833333333, A.D. 2010-Jan-01 08:00:00.0000, -1.817476557472661E-01,  9.663562933607284E-01, -2.160821871178005E-05, -1.718035435653082E-02, -3.242469333215733E-03,  8.340037333731834E-07,  5.679060733579077E-03,  9.832988846502512E-01, -1.107652532382431E-05,
2455197.875000000, A.D. 2010-Jan-01 09:00:00.0000, -1.824634551968478E-01,  9.662209309579831E-01, -2.157345572131788E-05, -1.717801781371653E-02, -3.254925751769607E-03,  8.346063787205572E-07,  5.679058101655007E-03,  9.832984289467250E-01, -1.079725548523544E-05,
