            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2453736.500000000, A.D. 2006-Jan-01 00:00:00.0000,      64.183926, -6.706245660041188E+08, -4.607364897227730E+08,  1.691942239364204E+07,  7.240392137043627E+00, -1.016375271713216E+01, -1.199016313052845E-01,
2453739.500000000, A.D. 2006-Jan-04 00:00:00.0000,      65.184012, -6.687418110252324E+08, -4.633670696207641E+08,  1.688821182904616E+07,  7.285043240989905E+00, -1.013214192793030E+01, -1.208803088330463E-01,
2453742.500000000, A.D. 2006-Jan-07 00:00:00.0000,      65.184099, -6.668482405139463E+08, -4.659898313786052E+08,  1.685672439762476E+07,  7.327291865915928E+00, -1.010462263563361E+01, -1.220407629116065E-01,
2453745.500000000, A.D. 2006-Jan-10 00:00:00.0000,      65.184186, -6.649434994687999E+08, -4.686052099298878E+08,  1.682494722644642E+07,  7.370814104740155E+00, -1.007568123988303E+01, -1.231419866727856E-01,
2453748.500000000, A.D. 2006-Jan-13 00:00:00.0000,      65.184272, -6.630274533076322E+08, -4.712125127696402E+08,  1.679290639494461E+07,  7.412322502907545E+00, -1.004311765146526E+01, -1.241340523257937E-01,
2453751.500000000, A.D. 2006-Jan-16 00:00:00.0000,      65.184357, -6.611007128167496E+08, -4.738120812783817E+08,  1.676058010011816E+07,  7.455799852649633E+00, -1.001471294876945E+01, -1.252573916694790E-01,
2453754.500000000, A.D. 2006-Jan-19 00:00:00.0000,      65.184442, -6.591628033165119E+08, -4.764036713496246E+08,  1.672798269016770E+07,  7.496602928141884E+00, -9.983405095670033E+00, -1.263127710604679E-01,
2453757.500000000, A.D. 2006-Jan-22 00:00:00.0000,      65.184525, -6.572142894849541E+08, -4.789873462643278E+08,  1.669510513943017E+07,  7.537147351450988E+00, -9.953089898545530E+00, -1.274122862599789E-01,
2453760.500000000, A.D. 2006-Jan-25 00:00:00.0000,      65.184606, -6.552546909320092E+08, -4.815635015682219E+08,  1.666193783430076E+07,  7.582667663522023E+00, -9.921910318863706E+00, -1.284163798120477E-01,
2453763.500000000, A.D. 2006-Jan-28 00:00:00.0000,      65.184686, -6.532841939003327E+08, -4.841313393293331E+08,  1.662850706288558E+07,  7.623245010184397E+00, -9.892124462398813E+00, -1.295397254172270E-01,
2453766.500000000, A.D. 2006-Jan-31 00:00:00.0000,      65.184764, -6.513028505156245E+08, -4.866913093613693E+08,  1.659479398613653E+07,  7.665281070181838E+00, -9.861045478255704E+00, -1.306044612664481E-01,
2453769.500000000, A.D. 2006-Feb-03 00:00:00.0000,      65.184840, -6.493105120276557E+08, -4.892429364553142E+08,  1.656081709147868E+07,  7.706592312552003E+00, -9.827511795653972E+00, -1.315815516678858E-01,
2453772.500000000, A.D. 2006-Feb-06 00:00:00.0000,      65.184914, -6.473078553148255E+08, -4.917864966610173E+08,  1.652655737336349E+07,  7.747677177488159E+00, -9.799171538324758E+00, -1.327572630663205E-01,
