             JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2455197.500000000, A.D. 2010-Jan-01 00:00:00.0000, -7.296712795112161E-01,  1.454285820774298E+00,  4.838987723546220E-02, -1.197728349419782E-02, -5.087002399003193E-03,  1.875195280109457E-04,  9.401346455678639E-03,  1.627792678711749E+00,  8.297115337644155E-04,
2455198.500000000, A.D. 2010-Jan-02 00:00:00.0000, -7.416234105269501E-01,  1.449149015084786E+00,  4.857573550053716E-02, -1.192685478225268E-02, -5.186525081832301E-03,  1.841957322419308E-04,  9.406115176273409E-03,  1.628618357087457E+00,  8.216378280218137E-04,
2455199.500000000, A.D. 2010-Jan-03 00:00:00.0000, -7.535247423329839E-01,  1.443912939154510E+00,  4.875826616341979E-02, -1.187568589414902E-02, -5.285542231604663E-03,  1.808643466493722E-04,  9.410837139815149E-03,  1.629435939730393E+00,  8.135201479152655E-04,
2455200.500000000, A.D. 2010-Jan-04 00:00:00.0000, -7.653745372807338E-01,  1.438578100470276E+00,  4.893746174081016E-02, -1.182378187780729E-02, -5.384049925344043E-03,  1.775255827165086E-04,  9.415512093972154E-03,  1.630245382950676E+00,  8.053590792769911E-04,
2455201.500000000, A.D. 2010-Jan-05 00:00:00.0000, -7.771720627559032E-01,  1.433145010423124E+00,  4.911331495542860E-02, -1.177114777374898E-02, -5.482044289360379E-03,  1.741796503141290E-04,  9.420139789781453E-03,  1.631046643641705E+00,  7.971552016656923E-04,
2455202.500000000, A.D. 2010-Jan-06 00:00:00.0000, -7.889165911710057E-01,  1.427614184262782E+00,  4.928581873470134E-02, -1.171778860674819E-02, -5.579521494307655E-03,  1.708267539805083E-04,  9.424719981628200E-03,  1.631839679276588E+00,  7.889090881942373E-04,
2455203.500000000, A.D. 2010-Jan-07 00:00:00.0000, -8.006073999581553E-01,  1.421986141053330E+00,  4.945496620984585E-02, -1.166370938252147E-02, -5.676477752313852E-03,  1.674670915494506E-04,  9.429252427229671E-03,  1.632624447905370E+00,  7.806213056585985E-04,
2455204.500000000, A.D. 2010-Jan-08 00:00:00.0000, -8.122437715611630E-01,  1.416261403630797E+00,  4.962075071494136E-02, -1.160891509509281E-02, -5.772909312515734E-03,  1.641008583790124E-04,  9.433736887624630E-03,  1.633400908153198E+00,  7.722924213423356E-04,
2455205.500000000, A.D. 2010-Jan-09 00:00:00.0000, -8.238249934264491E-01,  1.410440498561539E+00,  4.978316578564195E-02, -1.155341073852143E-02, -5.868812458580138E-03,  1.607282537925992E-04,  9.438173127160563E-03,  1.634169019218102E+00,  7.639230105915495E-04,
2455206.500000000, A.D. 2010-Jan-10 00:00:00.0000, -8.353503579935841E-01,  1.404523956099990E+00,  4.994220515780245E-02, -1.149720130881441E-02, -5.964183513010509E-03,  1.573494820098026E-04,  9.442560913473820E-03,  1.634928740867564E+00,  7.555136538239100E-04,
