             JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458342.845138889, A.D. 2018-Aug-12 08:17:00.0000,  7.686337521289278E-01, -6.603489813385522E-01, -1.747130380727095E-05,  5.066611633722873E-03,  6.903862472816568E-03, -1.555899156103036E-03,  5.852565646107014E-03,  1.013340328997077E+00, -6.558138840563778E-04,
2458343.345138889, A.D. 2018-Aug-12 20:17:00.0000,  7.717269821495069E-01, -6.565501805671085E-01, -5.184099886924613E-04,  6.200363742037535E-03,  7.709536148135888E-03, -9.807998936732262E-04,  5.851888282801108E-03,  1.013223047176289E+00, -2.725963405425492E-04,
2458343.845138889, A.D. 2018-Aug-13 08:17:00.0000,  7.748030126527494E-01, -6.526682629620516E-01, -1.008034765788369E-03,  6.101250480887146E-03,  7.815261798983501E-03, -9.782444106922875E-04,  5.850963767938796E-03,  1.013062972390052E+00, -3.677165143461571E-04,
2458344.345138889, A.D. 2018-Aug-13 20:17:00.0000,  7.778270827487460E-01, -6.487362368506071E-01, -1.496884590091560E-03,  5.994454491961508E-03,  7.912189672696794E-03, -9.772527034556226E-04,  5.849764516426691E-03,  1.012855328427504E+00, -4.628620254942421E-04,
2458344.845138889, A.D. 2018-Aug-14 08:17:00.0000,  7.807970976391897E-01, -6.447564975662144E-01, -1.985362720024191E-03,  5.885332129325530E-03,  8.006476044838713E-03, -9.766181313125965E-04,  5.848290519761172E-03,  1.012600113816290E+00, -5.580073104464052E-04,
2458345.345138889, A.D. 2018-Aug-14 20:17:00.0000,  7.837122054357247E-01, -6.407299819740465E-01, -2.473531005288044E-03,  5.774909616033263E-03,  8.099374753999683E-03, -9.760827132706616E-04,  5.846541685808074E-03,  1.012297312603873E+00, -6.531981362293807E-04,
2458345.845138889, A.D. 2018-Aug-15 08:17:00.0000,  7.865718623578644E-01, -6.366572699575181E-01, -2.961434821201282E-03,  5.663566741418016E-03,  8.191312538064151E-03, -9.755299227484406E-04,  5.844517916248966E-03,  1.011946907766944E+00, -7.484260926854430E-04,
2458346.345138889, A.D. 2018-Aug-15 20:17:00.0000,  7.893756598718169E-01, -6.325387746654435E-01, -3.449059503628196E-03,  5.551488130879166E-03,  8.282528717837207E-03, -9.749675828744489E-04,  5.842219080273428E-03,  1.011548876656381E+00, -8.437044004659230E-04,
2458346.845138889, A.D. 2018-Aug-16 08:17:00.0000,  7.921232546598282E-01, -6.283748226817242E-01, -3.936391592939224E-03,  5.438783212631837E-03,  8.373179295553444E-03, -9.743527669352038E-04,  5.839645016541502E-03,  1.011103191337037E+00, -9.390465478114571E-04,
2458347.345138889, A.D. 2018-Aug-16 20:17:00.0000,  7.948143368113720E-01, -6.241656921005955E-01, -4.423403658482316E-03,  5.325441475956766E-03,  8.463250666799087E-03, -9.736863708046218E-04,  5.836795539670953E-03,  1.010609819710972E+00, -1.034451127109848E-03,
