             JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458156.625694444, A.D. 2018-Feb-07 03:01:00.0000, -7.333501239339225E-01,  6.595777261306559E-01, -7.378596523103576E-05, -1.574700544351256E-02, -1.507460060033553E-02, -1.540417453039172E-03,  5.696562070219768E-03,  9.863291471542117E-01,  1.627561421165834E-03,
2458157.625694444, A.D. 2018-Feb-08 03:01:00.0000, -7.467174032208043E-01,  6.449325532814890E-01, -5.576801349387918E-04, -1.303325196404431E-02, -1.459283113773484E-02, -4.027224777117660E-04,  5.698552624772452E-03,  9.866738009910545E-01,  3.253241414254332E-04,
2458158.625694444, A.D. 2018-Feb-09 03:01:00.0000, -7.596002378011317E-01,  6.302717638516322E-01, -9.477091194141685E-04, -1.274362378146011E-02, -1.473741632210005E-02, -3.824135041290615E-04,  5.700632371437138E-03,  9.870338979633672E-01,  3.969921321579704E-04,
2458159.625694444, A.D. 2018-Feb-10 03:01:00.0000, -7.722146696110417E-01,  6.154495837281492E-01, -1.326519153863994E-03, -1.248729362132403E-02, -1.490861849460567E-02, -3.760067409575232E-04,  5.703146538790511E-03,  9.874692125462484E-01,  4.738041914212122E-04,
2458160.625694444, A.D. 2018-Feb-11 03:01:00.0000, -7.845768448316092E-01,  6.004530943872272E-01, -1.700635521738040E-03, -1.223746404194785E-02, -1.508449905970446E-02, -3.724915385225846E-04,  5.706105825050776E-03,  9.879815970787599E-01,  5.509518224250057E-04,
2458161.625694444, A.D. 2018-Feb-12 03:01:00.0000, -7.966898280655634E-01,  5.852809021456686E-01, -2.071852105297515E-03, -1.198842503601138E-02, -1.525952285436724E-02, -3.700564830506967E-04,  5.709510186828721E-03,  9.885710440482924E-01,  6.278918285547744E-04,
2458162.625694444, A.D. 2018-Feb-13 03:01:00.0000, -8.085533243271096E-01,  5.699350215864626E-01, -2.440908863269721E-03, -1.173830672437350E-02, -1.543165921550274E-02, -3.681121031230705E-04,  5.713357954302313E-03,  9.892372643341234E-01,  7.044846055463338E-04,
2458163.625694444, A.D. 2018-Feb-14 03:01:00.0000, -8.201658307239491E-01,  5.544188668008999E-01, -2.808154177033544E-03, -1.148636917845859E-02, -1.559995929284981E-02, -3.664051034565462E-04,  5.717646923332598E-03,  9.899798763014235E-01,  7.806670685869065E-04,
2458164.625694444, A.D. 2018-Feb-15 03:01:00.0000, -8.315253528199292E-01,  5.387365573035354E-01, -3.173755211237116E-03, -1.123230819745825E-02, -1.576390268689800E-02, -3.648082728348678E-04,  5.722374595454136E-03,  9.907984473543114E-01,  8.563963620341214E-04,
2458165.625694444, A.D. 2018-Feb-16 03:01:00.0000, -8.426297030211303E-01,  5.228926215549498E-01, -3.537783561396855E-03, -1.097601812935327E-02, -1.592316903796838E-02, -3.632508558736701E-04,  5.727538246229823E-03,  9.916925057711253E-01,  9.316359582184845E-04,
